institution_id,district_tr,institution_name,institution_type,address,icu,n#_beds,ambulance,neighborhood_tr,latitude,longitude,district_eng,private_or_public,related_to_htourism,institution_type_eng,institution_type_abbrv_tr,institution_type_abbrv_eng,care_type
1,Kadıköy,Marmara Veteriner Kliniği,Veteriner,Bahçeler Sk. No:3 FENERYOLU/KADIKÖY,,0.0,No,Feneryolu,40.979645135000055,29.05070181700006,Kadikoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
2,Fatih,İstanbul Üniversitesi-Cerrahpaşa Tip Fakültesi Kulak Burun Boğaz Ana Bilim Dali,Poliklinik,İÜ Cerrahpaşa Tip Fakültesi Yolu No: CERRAHPAŞA/FATİH,Yes,60.0,,Cerrahpaşa,41.00354611200004,28.94229438600007,Fatih,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
3,Tuzla,Özel Saradent Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,İnönü Cad. ŞİFA/TUZLA,,,,Şifa,40.82681499000006,29.355745385000034,Tuzla,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
4,Kadıköy,Atalay Veteriner Kliniği,Veteriner,Sinan Ercan Cad. No:6 19 MAYIS/KADIKÖY,,0.0,No,19 Mayis,40.969397835000045,29.08575158100007,Kadikoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
5,Kadıköy,Medipol Üniversitesi Hastanesi Kadiköy,Üniversite Hastanesi,Lambaci Sk. No:2/1 KOŞUYOLU/KADIKÖY,Yes,72.0,Yes,Koşuyolu,41.00466311300004,29.034347841000056,Kadikoy,Public,No,University Hospital,Üniversite H.,University H.,hospital level
6,Fatih,Fatih 9 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Selim Sabit Sk. MOLLA GÜRANİ/FATİH,No,0.0,,Molla Gürani,41.014479006000045,28.93787182700004,Fatih,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
7,Fatih,Özel Fatih Nur Polikliniği,Poliklinik,Hasan Fehmipaşa Cad. No:39A DERVİŞ ALİ/FATİH,No,0.0,,Derviş Ali,41.026209910000034,28.94002534800007,Fatih,Private,No,Polyclinic,Poliklinik,Polyclinic,hospital level
8,Gaziosmanpaşa,Karadeniz Aile Sağliği Merkezi,Aile Sağliği Merkezi,Menderes Cad. No:20 KARADENİZ/GAZİOSMANPAŞA,No,0.0,,Karadeniz,41.08238507900006,28.88256163500006,Gaziosmanpasa,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
9,Üsküdar,Özel Denteuropa Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Kisikli Cad. No:25/2 ALTUNİZADE/ÜSKÜDAR,No,0.0,No,Altunizade,41.023729906000035,29.04231156900005,Uskudar,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
10,Fatih,Özel Ultra Emar İleri Görüntüleme ve Tani Merkezi,Görüntüleme Merkezi,Köprülü Mehmetpaşa Sk. No:19A ŞEHREMİNİ/FATİH,,,,Şehremini,41.01442393000008,28.93348637200006,Fatih,Private,No,Screening Center,Görüntüleme M.,Screening C.,specialized
11,Adalar,Adalar 1 Nolu Acil Yardim İstasyonu,Acil Yardim İstasyonu,Gülistan Cad. No:45 MADEN/ADALAR,No,3.0,Yes,Maden,40.87467383200004,29.13274603700006,Adalar,Public,No,First Aid Station,Acil Yardım İst.,First Aid Station,not specified
12,Sarıyer,Sariyer İsmail Akgün Devlet Hastanesi Ek Hizmet Binasi,Hastane,Sariyer Deresi Sk. No:16 MERKEZ/SARIYER,Yes,,No,Sariyer Merkez,41.169163688000026,29.056599102000064,Sariyer,Public,No,Hospital,Hastane,Hospital,hospital level
13,Arnavutköy,Hadimköy Aile Sağliği Merkezi,Aile Sağliği Merkezi,Çarşamba Sk. No:1 HADIMKÖY/ARNAVUTKÖY,No,0.0,,Hadimköy,41.15615740000004,28.624629421000066,Arnavutkoy,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
